Ab,,,inn,Abinn,M,1
Em,f,,tun,Emftun,M,0
Aj,,,dar,Ajdar,M,1
E,,,dar,Edar,M,1
Fe,,,don,Fedon,M,1
Ao,,,r,Aor,M,1
Ap,l,l,dar,Aplldar,M,0
Az,,,ish,Azish,M,1
Er,ri,a,ul,Erriaul,M,1
Cy,n,m,dar,Cynmdar,M,1
Co,a,,thul,Coathul,M,1
E,,,dun,Edun,M,1
Fy,r,n,ul,Fyrnul,M,1
Eg,n,u,n,Egnun,M,1
Eu,hi,,ar,Euhiar,M,1
Ay,w,,r,Aywr,M,0
Ka,u,,tun,Kautun,M,1
At,,,ul,Atul,M,1
Ki,,,dir,Kidir,M,1
Cu,,,n,Cun,M,0
Eq,u,n,r,Equnr,M,1
Ce,,,don,Cedon,M,1
Ej,y,,um,Ejyum,M,1
X,u,,ur,Xuur,M,0
Ev,ri,ri,ar,Evririar,M,0
Go,l,o,ur,Golour,M,1
Ci,n,,l,Cinl,M,0
E,ri,,ar,Eriar,M,1
O,a,,ish,Oaish,M,0
Et,,,dir,Etdir,M,1
Ax,fi,ri,tun,Axfiritun,M,0
Ah,,,ar,Ahar,M,1
As,,,ur,Asur,M,1
Ec,n,i,nar,Ecninar,M,1
Al,a,no,ish,Alanoish,M,1
Ku,ri,y,esh,Kuriyesh,M,0
An,ho,no,don,Anhonodon,M,0
Ed,e,u,nar,Edeunar,M,1
Eo,a,,ur,Eoaur,M,1
Ar,u,,dun,Arudun,M,1
O,e,,un,Oeun,M,1
As,,,n,Asn,M,0
As,el,,ur,Aselur,M,1
Y,ho,,dar,Yhodar,M,1
Ar,o,no,in,Aronoin,M,1
Ev,l,,dun,Evldun,M,1
U,,,l,Ul,M,0
Ga,ho,,dir,Gahodir,M,1
Ku,m,el,ar,Kumelar,M,1
X,n,e,dun,Xnedun,M,0
At,a,el,r,Ataelr,M,1
Ki,,,ish,Kiish,M,0
Ap,i,,ish,Apiish,M,0
Et,w,,thul,Etwthul,M,0
At,,,n,Atn,M,0
Ar,el,,tun,Areltun,M,1
Aq,,,r,Aqr,M,0
Au,i,,inn,Auiinn,M,0
I,,,esh,Iesh,M,1
Ea,hi,a,um,Eahiaum,M,0
Ar,u,,n,Arun,M,1
Eu,,,ish,Euish,M,1
Ko,ri,hi,ish,Korihiish,M,0
Ec,n,,thul,Ecnthul,M,0
Eg,e,el,ar,Egeelar,M,0
I,w,u,dar,Iwudar,M,1
A,o,,nar,Aonar,M,1
Ku,w,,ar,Kuwar,M,1
Ci,ri,,um,Cirium,M,1
Au,ho,i,ul,Auhoiul,M,0
Es,a,,nar,Esanar,M,1
Ap,u,,don,Apudon,M,1
E,,,ar,Ear,M,0
Go,hi,,esh,Gohiesh,M,1
Ax,,,esh,Axesh,M,1
Ga,ho,i,esh,Gahoiesh,M,0
Ah,o,,l,Ahol,M,1
O,i,i,nar,Oiinar,M,0
Au,no,,um,Aunoum,M,1
Ep,n,e,ish,Epneish,M,0
E,y,w,r,Eywr,M,1
Cy,,,esh,Cyesh,M,1
Eg,fi,fi,ul,Egfifiul,M,0
Ky,e,f,esh,Kyefesh,M,1
Al,,,dun,Aldun,M,1
U,n,,r,Unr,M,0
Ak,ri,f,un,Akrifun,M,1
Et,,,dun,Etdun,M,1
Aa,l,,tun,Aaltun,M,1
Fe,,,dir,Fedir,M,1
Ab,,,esh,Abesh,M,1
A,i,,dun,Aidun,M,1
Ko,e,,ar,Koear,M,1
Ki,fi,n,dir,Kifindir,M,1
Gi,f,f,dun,Giffdun,M,1
U,y,,ul,Uyul,M,1
Fy,,,ar,Fyar,M,1
Ke,,,un,Keun,M,1
Ky,f,,in,Kyfin,M,1
U,,,r,Ur,M,0
Aa,,,tun,Aatun,M,1
Ky,,,in,Kyin,M,1
Ar,y,m,dar,Arymdar,M,1
Cu,i,,dir,Cuidir,M,1
Eg,y,,dun,Egydun,M,1
Ek,,,ish,Ekish,M,1
O,ri,a,ul,Oriaul,M,1
Af,ri,,ar,Afriar,M,1
Y,ri,o,ar,Yrioar,M,1
El,f,y,nar,Elfynar,M,1
I,u,,al,Iual,M,1
Ea,e,,ar,Eaear,M,0
Ag,o,,r,Agor,M,1
At,,,r,Atr,M,0
Ky,i,a,ul,Kyiaul,M,1
Cy,,,ar,Cyar,M,1
Ce,ho,y,un,Cehoyun,M,1
O,a,,nar,Oanar,M,1
Ki,,,ar,Kiar,M,1
Ar,m,l,ish,Armlish,M,1
Z,,,nar,Znar,M,1
Ae,l,,al,Aelal,M,1
Ca,y,el,ar,Cayelar,M,1
Ar,y,,inn,Aryinn,M,1
Ea,e,,um,Eaeum,M,0
Ca,y,f,don,Cayfdon,M,1
Ga,r,,n,Garn,M,1
Ki,,,ish,Kiish,M,0
Eu,el,w,r,Euelwr,M,0
Af,i,el,ur,Afielur,M,1
Eq,,,in,Eqin,M,1
Z,o,,ish,Zoish,M,1
Ez,l,,inn,Ezlinn,M,1
Ek,,,um,Ekum,M,1
Ev,no,,don,Evnodon,M,1
Ao,o,,ar,Aooar,M,0
Ae,,,un,Aeun,M,1
Am,i,e,al,Amieal,M,1
Eh,,,r,Ehr,M,1
Ey,r,,tun,Eyrtun,M,1
Ai,fi,,un,Aifiun,M,1
Aa,,,ar,Aaar,M,0
Aq,i,,ar,Aqiar,M,1
Fi,,,ar,Fiar,M,1
Af,,,thul,Afthul,M,1
Ed,m,,dir,Edmdir,M,0
Ek,no,m,nar,Eknomnar,M,0
Ci,,,ar,Ciar,M,1
Fa,,,al,Faal,M,1
Fy,m,e,inn,Fymeinn,M,1
Aj,f,,in,Ajfin,M,1
Aq,w,,in,Aqwin,M,1
Au,hi,,ur,Auhiur,M,1
An,fi,n,um,Anfinum,M,1
Fi,l,,ur,Filur,M,1
Ae,,,un,Aeun,M,1
Fe,l,,dun,Feldun,M,1
Aq,w,hi,al,Aqwhial,M,1
Af,,,ul,Aful,M,1
Eh,ho,ho,ish,Ehhohoish,M,0
Gy,,,al,Gyal,M,1
Ko,n,u,r,Konur,M,1
Az,u,o,ar,Azuoar,M,1
Ga,,,dun,Gadun,M,1
Ev,fi,,in,Evfiin,M,0
Z,o,el,esh,Zoelesh,M,1
Eo,f,ho,al,Eofhoal,M,0
U,m,,ul,Umul,M,1
Ey,y,no,dar,Eyynodar,M,0
Eu,o,no,tun,Euonotun,M,1
Ec,f,,inn,Ecfinn,M,1
U,,,ar,Uar,M,1
Ax,l,,l,Axll,M,0
O,,,n,On,M,0
Ek,u,,tun,Ekutun,M,1
Fu,u,ri,r,Fuurir,M,0
Ka,,,ul,Kaul,M,1
Ay,e,m,thul,Ayemthul,M,1
Av,,,al,Aval,M,1
Ad,o,l,dun,Adoldun,M,1
Ar,l,,thul,Arlthul,M,1
Er,,,l,Erl,M,1
Am,e,,inn,Ameinn,M,1
Et,y,f,in,Etyfin,M,1
Fu,w,,dir,Fuwdir,M,1
Aa,n,o,thul,Aanothul,M,1
El,el,el,in,Elelelin,M,0
Ei,n,,tun,Eintun,M,1
An,w,r,ish,Anwrish,M,0
Eb,,,r,Ebr,M,0
Gu,o,f,nar,Guofnar,M,1
Z,,,tun,Ztun,M,0
Ki,e,,r,Kier,M,1
Eo,hi,el,dir,Eohieldir,M,0
Er,,,inn,Erinn,M,1
Ke,n,ri,don,Kenridon,M,1
E,ho,y,ur,Ehoyur,M,1
O,l,y,inn,Olyinn,M,1
Ac,fi,,ar,Acfiar,M,1
Ek,o,fi,nar,Ekofinar,M,1
Eq,l,,al,Eqlal,M,0
Et,l,,ar,Etlar,M,1
Ei,,,in,Eiin,M,0
Ce,y,,esh,Ceyesh,M,1
Ao,a,,un,Aoaun,M,0
Ce,,,don,Cedon,M,1
Er,n,m,al,Ernmal,M,1
Fu,f,ho,um,Fufhoum,M,1
Ae,,,tun,Aetun,M,1
Ai,,,inn,Aiinn,M,0
Ec,ri,y,dar,Ecriydar,M,1
Fe,ho,,inn,Fehoinn,M,1
Ap,,,ul,Apul,M,1
Ev,,,dun,Evdun,M,1
Am,n,,n,Amnn,M,0
E,el,,un,Eelun,M,0
Cy,,,r,Cyr,M,1
Au,m,ri,in,Aumriin,M,0
Al,y,,tun,Alytun,M,1
Ao,ri,y,dir,Aoriydir,M,
